Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,54.950001,55.730000,54.810001,55.720001,55.243111,2749935
2022-04-04,55.820000,55.990002,55.150002,55.820000,55.342255,4195180
2022-04-05,55.490002,55.869999,54.790001,54.910000,54.440041,4109512
2022-04-06,55.720001,55.939999,54.959999,55.299999,54.826702,4454857
2022-04-07,55.020000,55.450001,54.189999,55.419998,54.945675,4027549
2022-04-08,55.610001,56.474998,55.599998,56.090000,55.609943,5355716
2022-04-11,56.090000,56.130001,55.029999,55.320000,54.846535,3854997
2022-04-12,56.240002,56.730000,55.720001,55.990002,55.510799,4915839
2022-04-13,57.000000,57.209999,56.570000,57.040001,56.551815,5328023
2022-04-14,57.040001,57.474998,56.879799,57.110001,56.621212,4069957
2022-04-18,57.250000,57.770000,56.830002,57.330002,56.839333,3278359
2022-04-19,57.889999,58.680000,57.730000,58.090000,57.592827,5836152
2022-04-20,57.750000,57.990002,57.430000,57.869999,57.374706,3312228
2022-04-21,57.880001,58.178600,56.580002,56.709999,56.224636,4190512
2022-04-22,56.540001,56.980000,55.224998,55.490002,55.015079,4946514
2022-04-25,53.700001,54.090000,52.240002,53.779999,53.319714,6266597
2022-04-26,53.130001,54.090000,52.849998,53.049999,52.595963,6852016
2022-04-27,53.259998,54.049999,52.799999,53.799999,53.339542,4166169
2022-04-28,54.430000,55.090000,53.700001,54.970001,54.499531,3690420
2022-04-29,54.580002,54.880001,53.275002,53.430000,52.972710,4846395
2022-05-02,52.779999,53.785000,52.310001,53.730000,53.270142,5134073
2022-05-03,54.680000,55.770000,54.590000,55.639999,55.163795,5157360
2022-05-04,56.259998,57.080002,55.490002,56.970001,56.482414,4293698
2022-05-05,57.400002,57.560001,55.860001,56.939999,56.452667,5112479
2022-05-06,57.340000,57.720001,56.419998,57.700001,57.206165,4531795
2022-05-09,55.959999,56.000000,54.200001,54.349998,53.884834,6491645
2022-05-10,54.959999,55.750000,54.049999,54.939999,54.469784,5537659
2022-05-11,56.360001,57.330002,55.709999,55.869999,55.391827,4008574
2022-05-12,55.099998,55.279999,54.380001,55.220001,54.747391,4931857
2022-05-13,55.529999,56.820000,55.529999,56.700001,56.214722,3838356
2022-05-16,56.849998,58.230000,56.730000,58.060001,57.563084,5929102
